BR,HR,RRI,MOVING,DETECT,NO_ONE,STABLE
0.0000413,171.43,0.35,Y,Y,Y,Y
0.000197743,7.41,8.1,Y,Y,Y,Y
0.000358362,70.59,0.85,Y,Y,Y,Y
0.000531661,70.59,0.85,Y,Y,Y,Y
0.000696789,75,0.8,Y,Y,Y,Y
0.000813723,54.55,1.1,Y,Y,Y,Y
0.000864958,109.09,0.55,Y,Y,Y,Y
0.000898548,200,0.3,Y,Y,Y,Y
0.000963301,109.09,0.55,Y,Y,Y,Y
0.000996663,57.14,1.05,Y,Y,Y,Y
0.000943491,75,0.8,Y,Y,Y,Y
0.000885778,46.15,1.3,Y,Y,Y,Y
0.000903807,75,0.8,Y,Y,Y,Y
0.000964296,80,0.75,Y,Y,Y,Y
0.001003897,75,0.8,Y,Y,Y,Y
0.001018203,70.59,0.85,Y,Y,Y,Y
0.00103549,54.55,1.1,Y,Y,Y,Y
0.001066411,109.09,0.55,Y,Y,Y,Y
0.001108457,75,0.8,Y,Y,Y,Y
0.001163186,75,0.8,Y,Y,Y,Y
0.001224119,70.59,0.85,Y,Y,Y,Y
0.001277641,109.09,0.55,Y,Y,Y,Y
0.001320471,63.16,0.95,Y,Y,Y,Y
0.001360761,75,0.8,Y,Y,Y,Y
0.001407583,70.59,0.85,Y,Y,Y,Y
0.001419337,66.67,0.9,Y,Y,Y,Y
0.001354819,75,0.8,Y,Y,Y,Y
0.001292959,70.59,0.85,Y,Y,Y,Y
0.00131941,70.59,0.85,Y,Y,Y,Y
0.00139337,66.67,0.9,Y,Y,Y,Y
0.001441232,70.59,0.85,Y,Y,Y,Y
0.001447978,80,0.75,Y,Y,Y,Y
0.001435965,70.59,0.85,Y,Y,Y,Y
0.001421483,70.59,0.85,Y,Y,Y,Y
0.001404483,66.67,0.9,Y,Y,Y,Y
0.001384264,70.59,0.85,Y,Y,Y,Y
0.001358641,200,0.3,Y,Y,Y,Y
0.001315368,50,1.2,Y,Y,Y,Y
0.001251701,75,0.8,Y,Y,Y,Y
0.001186355,70.59,0.85,Y,Y,Y,Y
0.001141447,54.55,1.1,Y,Y,Y,Y
0.001101461,120,0.5,Y,Y,Y,Y
0.000991359,75,0.8,Y,Y,Y,Y
0.000782216,48,1.25,Y,Y,Y,Y
0.000590516,41.38,1.45,Y,Y,Y,Y
0.000513952,70.59,0.85,Y,Y,Y,Y
0.000484935,70.59,0.85,Y,Y,Y,Y
0.000410974,66.67,0.9,Y,Y,Y,Y
0.00028783,52.17,1.15,Y,Y,Y,Y
